,Domain,Similarity to TV,Similarity to Legal,Similarity to Web
0,Web,0.06726469277447093,0.17096137858351276,0.13536292109506848
1,Web,0.2636072450128736,0.4304837158943135,0.33155268408798494
2,Web,0.18867393890411668,0.49441081684753463,0.35614121184643377
3,Web,0.2423674750736739,0.2978003661998715,0.33304611602873535
4,Web,0.20867480486639475,0.24633485683377598,0.2575944719162713
5,Web,0.14985018896457386,0.2764410556916029,0.2055833223045703
6,Web,0.19218477105144743,0.4406013033605018,0.3471366909134084
7,Web,0.14268548839655434,0.33587373542387466,0.3052258949170701
8,Web,0.2757317641615845,0.43452957638004486,0.3083934005713357
9,Web,0.1572135740169943,0.494379067372636,0.3573678193540738
10,Web,0.2004086878357208,0.2763970090935491,0.26062496124488443
11,Web,0.13841549239651912,0.4219549150986789,0.3063831506399206
12,Web,0.16940388080528432,0.3923384259390471,0.29791848191869186
13,Web,0.08917001430764157,0.19091469703527308,0.18523548811737944
14,Web,0.1430060420422638,0.4254949047533015,0.2229121524326648
15,Web,0.18624651412906804,0.4060316907992393,0.31191865007553937
16,Web,0.14281831590253158,0.4480426026870078,0.3089810303317284
17,Web,0.18311286396137452,0.32862235283876,0.3195200576702823
18,Web,0.19965531803622555,0.3269852482544656,0.27714115234562126
19,Web,0.15876456752817344,0.42390878419707717,0.35404036492980506
20,Web,0.16144679839370918,0.3310663303103955,0.2508534857041508
21,Web,0.08698765636818939,0.33025913109222454,0.3364481996661054
22,Web,0.10993067314129065,0.4007891456913054,0.239859008738887
23,Web,0.18018583380390177,0.42180344505032397,0.3267282841221908
24,Web,0.15945170288309862,0.37594545057855466,0.26083953211975797
25,Web,0.38442421987887443,0.3475656851594936,0.38532178388105476
26,Web,0.2246773306446687,0.25219492330507576,0.23547914233844575
27,Web,0.23442442378112807,0.31223282262429797,0.26615261977386
28,Web,0.14852745113605387,0.35309003750882,0.3319812657223098
29,Web,0.11528070210813772,0.4382435892811999,0.3393627372437992
30,Web,0.27684249711257986,0.27269505111145403,0.3222356441836752
31,Web,0.30710885006651745,0.26652373218255154,0.2847287187320958
32,Web,0.1326203814298634,0.34595185180899174,0.300406638166216
33,Web,0.15957688215137614,0.3893589950095538,0.306139605423478
34,Web,0.12912711456923534,0.35334008798490824,0.27427617609481536
35,Web,0.1282808615666841,0.4163139272416655,0.330907458924423
36,Web,0.25828537977711163,0.29354461929893844,0.28192717320071325
37,Web,0.2020823319796119,0.37596423490210545,0.26937181915172764
38,Web,0.23740532737337242,0.4367870917417534,0.3526503871157198
39,Web,0.26273659805445926,0.24434703576643532,0.25605579194168726
40,Legal,0.18335363969872256,0.5755343647184529,0.330948446151103
41,Legal,0.1448352858737513,0.5770530433063479,0.24471255705761075
42,Legal,0.12675960204248907,0.5380206211773203,0.1910374410289205
43,Legal,0.2009089902441336,0.6254584328418753,0.39291434260378305
44,Legal,0.268541288098518,0.679218007474745,0.4321869814642813
45,Legal,0.2119604451691587,0.690196180937112,0.3289616355814483
46,Legal,0.17104447888571056,0.5429216261983825,0.3853929007434735
