,Domain,Similarity to TV,Similarity to Legal,Similarity to Web
0,Web,0.12484916572818486,0.43288319015877164,0.33128310784078885
1,Web,0.20829322364851488,0.5524302078100853,0.43728717649422916
2,Web,0.21798160498546887,0.2542917421891202,0.1780833831735141
3,Web,0.16185783700535833,0.47991357138127755,0.36796450340835335
4,Web,0.05136354634176136,0.12514106412637052,0.11015977647989365
5,Web,0.1847115311656117,0.5177559786959886,0.4821765904885148
6,Web,0.21378333348720863,0.3580263639958478,0.3127522391914157
7,Web,0.14563377133683159,0.28240634543843657,0.28686556094365956
8,Web,0.1563256733690469,0.52994647000478,0.35730780330997414
9,Web,0.2627882110083168,0.3839796928344067,0.3153726188697207
10,Web,0.1391037642315506,0.3158286338107889,0.22554209099391587
11,Web,0.13085771657966352,0.2642358793138368,0.2032575273154241
12,Web,0.10480690600275602,0.45769188861972643,0.2572761062927201
13,Web,0.07772163015848677,0.27697952378267743,0.18719744183944392
14,Web,0.1207078754758043,0.43986231377959656,0.3685167394470942
15,Web,0.1473891297395783,0.4221305808901844,0.2967535077691558
16,Web,0.21656401659105087,0.5753366122083639,0.42471423664710545
17,Web,0.07256667762802754,0.4848285681136327,0.38134680965159673
18,Web,0.16119777945470667,0.5211087978872145,0.3573711858958989
19,Web,0.18936563892194522,0.4829116660237017,0.3447917577814233
20,Web,0.15727947657675234,0.47932525854335084,0.3556415516289717
21,Web,0.18087319491214932,0.4140925134077354,0.35949568237640384
22,Web,0.17404255467845103,0.44494733161048305,0.3728065379429971
23,Web,0.10805330493386829,0.33142375776053007,0.2680995088885049
24,Web,0.1673074707191967,0.41258462681095914,0.3400539420360407
25,Web,0.2813949133076085,0.36303639703854346,0.32043130858654106
26,Web,0.18797703702617302,0.46624353551555553,0.33698549867896244
27,Web,0.21470800281574007,0.4405426866243848,0.36581609605840226
28,Web,0.18049223852789303,0.1341575075533429,0.12809798983287304
29,Web,0.17659763324109085,0.409830563884107,0.35695667330944875
30,Web,0.08179294680375082,0.32739009127007485,0.17165722520504773
31,Web,0.11424228637427569,0.5331365259876557,0.40753197575381483
32,Web,0.16400446222451062,0.5588478349814323,0.41844059606620093
33,Web,0.16784726607826647,0.3798116326834712,0.2324617829891809
34,Web,0.152484757776004,0.497803629608599,0.36382437670422735
35,Web,0.1686266376752079,0.417615986192731,0.29135571142113686
36,Web,0.12243267686260814,0.5380072530360722,0.34943653574304745
37,Web,0.18224980810643546,0.30430009617243076,0.26434931395964617
38,Web,0.2385719082556809,0.47515512312665703,0.36864284509024453
39,Web,0.09724255878780827,0.2735692822908399,0.20143294633678424
40,Legal,0.1782773474239068,0.7153433431715122,0.4480115678799545
41,Legal,0.11717625784705796,0.7058399034037673,0.3212455060892716
42,Legal,0.14231428129869478,0.7235315404554765,0.43188242429423535
43,Legal,0.19431064491267686,0.672471973657188,0.40162383821774883
44,Legal,0.16096261140598483,0.7065829579775038,0.3953910299816799
45,Legal,0.1572652460301533,0.7163464761010986,0.3276848526295085
46,Legal,0.22900215173976393,0.7281619832474551,0.43403454943551967
47,Legal,0.12124129313609247,0.7013730142086356,0.34750649262570105
48,Legal,0.20311779853859568,0.7491792896355325,0.42739530569328166
49,Legal,0.1740513428656167,0.722390175787941,0.4295204498752672
50,Legal,0.14337010192924277,0.7068252845702908,0.3278152189630389
51,Legal,0.2069589631550596,0.6717360057456669,0.4521466124563814
52,Legal,0.19491445120261838,0.7086357691185752,0.3756356277863562
53,Legal,0.2173929253535644,0.6672272326544155,0.40159859204304726
54,Legal,0.17036722394925302,0.6662355195552218,0.3863341286476579
55,Legal,0.20651048845310166,0.7327843192344206,0.4156566531621483
56,Legal,0.248626522133212,0.761337566639485,0.48323271000590423
57,Legal,0.1588248357934626,0.7440964170053581,0.42894881335860713
58,Legal,0.1477143043956895,0.7079499474466933,0.4127858145098894
59,Legal,0.2102517680673857,0.6889707375557635,0.3628474722457191
60,Legal,0.24886237719103838,0.7224185066940809,0.4667541220890681
61,Legal,0.2027192768785472,0.6560930443296433,0.37915877202604864
62,Legal,0.2491600216928266,0.7075038364581848,0.42090371615674416
63,Legal,0.1885326772571073,0.6562469683773131,0.3474264268274493
64,Legal,0.2248008296892706,0.7394680693028312,0.46546826325870166
65,Legal,0.2868661901524583,0.7182782873820399,0.44096140336812334
66,Legal,0.1626025596512093,0.6147448135393678,0.39716065519961413
67,Legal,0.21266470468719567,0.6689722652254391,0.41245671473766976
68,Legal,0.14275814902280787,0.7476213977992805,0.4303680901352777
69,Legal,0.17054367115170194,0.6983178426690543,0.4278885345964182
70,Legal,0.21468845917594753,0.758319437081516,0.43382576096782605
71,Legal,0.18387792457702412,0.751054038405569,0.48842794192186306
72,Legal,0.2055722719748439,0.7466096131320337,0.5298698592914902
73,Legal,0.19845554795650114,0.687887105483121,0.388683387381828
74,Legal,0.09742147368560114,0.6003544416996164,0.36864988884187155
75,Legal,0.12524031386252277,0.7190331094256778,0.3859393662359888
76,Legal,0.1844990261909375,0.7316390170821926,0.40390092641180375
77,Legal,0.21296708462098027,0.6725233005204561,0.3494705646266893
78,Legal,0.17205878209764566,0.7095309246512259,0.34564159889741003
79,Legal,0.20017888791167912,0.6814465807425651,0.3817796191695795
80,TV,0.18449567890076146,0.09985338152450553,0.10454402526060477
81,TV,0.2719739851536037,0.24431828855877374,0.23448245152780442
82,TV,0.2536237827417269,0.23726878224909775,0.20748345035319143
83,TV,0.2413996131441452,0.22677111394004865,0.16801903816103983
84,TV,0.11314172644541327,0.0408953016878956,0.032221060663945436
85,TV,0.20479706835932582,0.19583781116665247,0.18874322470880364
86,TV,0.23201692292028833,0.21650689146448948,0.17655067813184236
87,TV,0.1767339731639383,0.21114924328397455,0.15259315139559063
88,TV,0.14768048525759223,0.20322118153088753,0.16098028169115158
89,TV,0.1741240082851952,0.18206954186009025,0.16612460724642958
90,TV,0.15168840240103962,0.08828605861458384,0.10628714073459218
91,TV,0.1698588359758461,0.0670229035063427,0.08471916793469889
92,TV,0.27423292427973633,0.21972425958659897,0.19807985588104063
93,TV,0.20762057701567443,0.35429176965401454,0.28755800057044295
94,TV,0.23678163769066324,0.30607490630607415,0.2466695588991763
95,TV,0.1978787741210712,0.0683323647166704,0.05703487078021126
96,TV,0.17645231111544876,0.17166939328893105,0.20782461362745855
97,TV,0.1636881131690426,0.10641149167909955,0.10968335823012568
98,TV,0.20600961136164173,0.11796969059440746,0.12987178516093928
99,TV,0.17639653810313924,0.1115027944335101,0.13361789687166442
100,TV,0.2136609098706037,0.2519248214762506,0.2468298542263661
101,TV,0.2519398152751402,0.22700291152531685,0.19650406317742286
102,TV,0.20540972752401987,0.14446205728413716,0.23257036702222506
103,TV,0.20139724329972708,0.11496460293276103,0.11394456800404877
104,TV,0.2438689558119614,0.06214686061532795,0.08332749228301044
105,TV,0.12374045329837133,0.11555751948861562,0.1264461642805011
106,TV,0.11582627257080758,0.13900500166612542,0.10974419597588325
107,TV,0.21635368829603108,0.17340454330208852,0.15694308859531353
108,TV,0.18138320298840396,0.05955340701084181,0.0956076512698069
109,TV,0.25720958046132275,0.1591777132887243,0.2017240500601322
110,TV,0.17121541758639885,0.10234747482462933,0.10870567444166616
111,TV,0.29613111148931054,0.13592419010491832,0.09819592677159567
112,TV,0.17795740563247225,0.10042694442211726,0.09707412948068124
113,TV,0.19772374346652904,0.08378618108663476,0.093922432025306
114,TV,0.2588267830499037,0.23845439954407865,0.24492035800286863
115,TV,0.2698956375690898,0.2825952359384284,0.2563844751768521
116,TV,0.14993309591908432,0.2168736605391956,0.18942180422836033
117,TV,0.22373136982564973,0.1258195989975499,0.11591393130409275
118,TV,0.19170509287838797,0.15890530968452243,0.15883883497939416
119,TV,0.17072526943350524,0.15208553633675098,0.14049468228811182
