,Domain,Similarity to TV,Similarity to Legal,Similarity to Web
0,Web,0.01670460365490985,0.01523823864246271,0.017540005949049465
1,Web,0.016602376125909746,0.02757499715498596,0.02759829183200786
2,Web,0.017918516960169266,0.01925994936655269,0.025467252957202376
3,Web,0.019392686551539924,0.017560262401740714,0.0221426105866621
4,Web,0.04045301348336795,0.01961426919895041,0.028837974649626952
5,Web,0.02538488570412633,0.02449858503557761,0.0312312026621488
6,Web,0.015292123821983448,0.01738082689664546,0.02035137921475922
7,Web,0.013469304695466863,0.013866754749521945,0.019315268081947657
8,Web,0.020691205055144175,0.022041219630153246,0.024218882758035368
9,Web,0.02495091128421201,0.02172511757328307,0.031860798251716144
10,Web,0.0031473909190095446,0.003804938804335298,0.008522730801135369
11,Web,0.007943932572598433,0.00872197798366815,0.010305802557397157
12,Web,0.03090065255502287,0.023822386799208763,0.03962636811598526
13,Web,0.007761332505299277,0.012070343970934852,0.013174195246275014
14,Web,0.015198779978783458,0.0266227873988292,0.02664107099418459
15,Web,0.02469500951906017,0.0256016619537629,0.032506850790746805
16,Web,0.026696559534390353,0.01501433042009745,0.017646272164291495
17,Web,0.03904659697706822,0.02419770800067227,0.029017995141362014
18,Web,0.00787968451950885,0.005583424832912682,0.01001921709397521
19,Web,0.01977817723101937,0.01957335813633303,0.03456473563145883
20,Web,0.007858599974592671,0.007298688903192985,0.006891096998755039
21,Web,0.04272911514838927,0.027492603123076283,0.025578511915239667
22,Web,0.02779761162527336,0.01383011477021318,0.03286038427815405
23,Web,0.015204100324828596,0.013177887910365723,0.023226583337315077
24,Web,0.028017056388604217,0.022307462568031435,0.028715502576003277
25,Web,0.025714923944955625,0.02680537563718589,0.025822509855265796
26,Web,0.015093049011253917,0.01098138194544632,0.016066401653867177
27,Web,0.009069865953798861,0.017550714248479156,0.019785427252341437
28,Web,0.015199431197774654,0.011525699275946436,0.01915473717144464
29,Web,0.01807555883041954,0.017043039548164968,0.028363014440912205
30,Web,0.029348700454371136,0.028923289356342856,0.03592888023954079
31,Web,0.03547750547226744,0.023310079580173577,0.03070162317366395
32,Web,0.02225253544881916,0.02379064298916344,0.03399694163116288
33,Web,0.022746784843145337,0.02996943540873931,0.03333338458723114
34,Web,0.017134776557512534,0.017101964044120253,0.028976535865718727
35,Web,0.025270394624867874,0.01883849507819257,0.028519562025925715
36,Web,0.04180841598570363,0.030424487513914023,0.03306825405978981
37,Web,0.015519095209744677,0.00834795690491123,0.013519209972773089
38,Web,0.02697423375484344,0.022686172112120654,0.02887730993793015
39,Web,0.042502131920867686,0.02465536255562014,0.03368147378704062
40,Legal,0.01598363762219666,0.13686419367503602,0.01673601360627614
41,Legal,0.014845957696801021,0.1218574557700777,0.021492764470197302
42,Legal,0.008455920157705946,0.0770983052966484,0.019936211906087933
43,Legal,0.014072977012423177,0.15680738079799558,0.016254341233668455
44,Legal,0.008886247464101023,0.08704893871033774,0.016008624076127236
45,Legal,0.010116087139730504,0.09424294260221883,0.01606719704040314
46,Legal,0.020897130544471572,0.1215668786042301,0.021714371272918465
47,Legal,0.0030977401502131456,0.0417579235506629,0.007849123269082634
48,Legal,0.013167243587371235,0.16063265913906413,0.024156907702117075
49,Legal,0.020509787898533464,0.1349551318268598,0.026514666582166335
50,Legal,0.027526257725792314,0.18343710690342702,0.030772593829947924
51,Legal,0.008885525867510041,0.09955899767547657,0.013735458647145893
52,Legal,0.014078893566401079,0.09664920122311416,0.021969888301653074
53,Legal,0.0174430144477647,0.14052738786893265,0.024462822357784266
54,Legal,0.012062187195710405,0.12303907871097697,0.016762044447711316
55,Legal,0.016690581420174433,0.12777367346260954,0.027897386787139766
56,Legal,0.01860910158010191,0.16851081671181772,0.02370305198477161
57,Legal,0.012264877788180622,0.1523792322391443,0.021297587255083555
58,Legal,0.01599163500977034,0.14841974985312653,0.028902272808476133
59,Legal,0.005352709847074221,0.10365299487211335,0.018949774517034147
60,Legal,0.020647521552205804,0.11055536689050523,0.025826001205642046
61,Legal,0.018786788552820587,0.10213281922681301,0.021933259050419377
62,Legal,0.01403552286524921,0.14158214094964022,0.02340214450496137
63,Legal,0.005235273314296514,0.04648825297763246,0.01158149349832124
64,Legal,0.018968017784898327,0.12873060574215825,0.02850002339663541
65,Legal,0.01261925452591241,0.09458071547388314,0.022872099978032367
66,Legal,0.01842536807091518,0.13781587698694026,0.018871268592298627
67,Legal,0.014796081121944884,0.16647880277837246,0.018245961635045323
68,Legal,0.003195067668373213,0.02827215662794616,0.0076080787222785025
69,Legal,0.016164023109647218,0.1497864417194509,0.019796404626530064
70,Legal,0.01804792253069305,0.14230628084334315,0.021962705008244616
71,Legal,0.016923546986920973,0.14380147602665455,0.025882317258298537
72,Legal,0.014337367502961693,0.19219674266438333,0.017535619056641263
73,Legal,0.0164372156715299,0.18756490948718338,0.0166251665536111
74,Legal,0.011233991365496788,0.11158672775014147,0.02272926170039028
75,Legal,0.015642572938268196,0.15604030593062496,0.019127876703255275
76,Legal,0.01023625154104508,0.10916799939934156,0.017760325270221415
77,Legal,0.01654786802658221,0.11757333810190765,0.025995547874357518
78,Legal,0.02382637201959212,0.14671809514945236,0.022459135397257496
79,Legal,0.018436256822545252,0.15738395900667396,0.027908939959643785
80,TV,0.03263033556956786,0.014648666884886336,0.009593779513097913
81,TV,0.029592552015152634,0.01668694895051738,0.01687548488065615
82,TV,0.020146591134504295,0.005936727833150741,0.011367817762691914
83,TV,0.03395858170568673,0.010411770753272686,0.019156644470872234
84,TV,0.03591679434364779,0.010742384706030356,0.015576824924133693
85,TV,0.028575751845400444,0.011841429819326368,0.014331772350787494
86,TV,0.05739801729431539,0.02270625149486041,0.03424725610731087
87,TV,0.05670312296574218,0.016584259967199564,0.02644867398312553
88,TV,0.058021832824978845,0.01841355758124338,0.0313561748155349
89,TV,0.046117645453049756,0.017421948303977954,0.019923611140277287
90,TV,0.06259981297277775,0.020973899436418895,0.04006682162753308
91,TV,0.059161801311592474,0.00790789124560069,0.014298822910922498
92,TV,0.06303975959957286,0.02338065922733765,0.030784991914473436
93,TV,0.05271827009990297,0.015311709095816079,0.017591127399177682
94,TV,0.06109319747299542,0.028762077225402853,0.03961773246470314
95,TV,0.04721257087203949,0.022594592072325465,0.03133333085395322
96,TV,0.03028168154367719,0.012296698164692617,0.011824423423468138
97,TV,0.08153344620882724,0.023427345956562737,0.033539365639220525
98,TV,0.053484174480435395,0.02268515839771736,0.040360038247871724
99,TV,0.031156280547409577,0.006396841133770176,0.012480532907216669
100,TV,0.023073547453394613,0.01169508852107123,0.016603863955001137
101,TV,0.038654510525919714,0.00625639974510078,0.012116890573996064
102,TV,0.03328299859325,0.017637063679394088,0.023326642149143807
103,TV,0.02528570064193263,0.013958145028020164,0.022900321574235043
104,TV,0.050991811149049326,0.01426994696223055,0.024285293776170412
105,TV,0.045839136177700454,0.009452420478204016,0.02214604591730457
106,TV,0.03302351278473435,0.013148516150806913,0.019043330121431067
