,Domain,Similarity to TV,Similarity to Legal,Similarity to Web
0,Web,0.06057496453986444,0.08147172870282665,0.12161826594401534
1,Web,0.18451855652263996,0.3769680267905026,0.14891535351898094
2,Web,0.2533519133041781,0.6027728446307584,0.3803321426311745
3,Web,0.04573600763300516,0.12005490362854601,0.16596195658065904
4,Web,0.20751507374263545,0.4728813815120926,0.32693693280574
5,Web,0.14947226560077478,0.48754400233551387,0.19988934910420952
6,Web,0.26861792716699207,0.6389925834122947,0.3613163295539371
7,Web,0.332978454560147,0.6003470727992387,0.40838584269223627
8,Web,0.21680183191178254,0.6868832014680667,0.4042619811846528
9,Web,0.023644585240608258,0.11108616724033604,0.1633456612010179
10,Web,0.265791359751851,0.6514311574017796,0.2691706286155179
11,Web,0.045393674991403836,0.06340289290070089,0.13998706243519218
12,Web,0.3152223559641047,0.5630786262842216,0.35689623245196855
13,Web,0.20126012738905596,0.5397720894580235,0.3298650592744797
14,Web,0.31868223020085995,0.5448961518826894,0.3866789391580537
15,Web,0.2964874456999504,0.4351065906257607,0.3353922450596297
16,Web,0.21998449409665874,0.593838317317431,0.4289993045490282
17,Web,0.36531844887719955,0.6806039639890901,0.40460091283372934
18,Web,0.15142411678459827,0.5272854762691114,0.26646608771482305
19,Web,0.2729673148512471,0.6492218544102448,0.44225049379765957
20,Web,0.09636247559149681,0.2364585197505121,0.1894173669843356
21,Web,0.3082000350340331,0.4944785823399604,0.46678927908413925
22,Web,0.2953916191247804,0.46352652046371867,0.2887804736174225
23,Web,0.045804432768862265,0.11071207223062249,0.18042491557699777
24,Web,0.04139475846703076,0.18110757200478142,0.14507866088483776
25,Web,0.2649960552669047,0.4342337338755571,0.30034185086413506
26,Web,0.27387224754118294,0.5036986117192073,0.3833357123556655
27,Web,0.04813089082677559,0.09597925604201425,0.1695840558956609
28,Web,0.349117283344242,0.5369638579418172,0.3570531665921538
29,Web,0.3695936488820921,0.6842664087481571,0.3697146788290436
30,Web,0.34377517546302355,0.666253379997731,0.37575774596016526
31,Web,0.2774238261098622,0.3416461737611828,0.2133716275547536
32,Web,0.21530349045921954,0.4605555952007152,0.269199430668004
33,Web,0.31173263972913395,0.6122548324173317,0.35466963058590417
34,Web,0.04740774741612711,0.16924534329268895,0.11077339157084298
35,Web,0.3091121358337786,0.5034012996906607,0.3396800762897951
36,Web,0.017606716198472663,0.02859211090806571,0.17187608175329366
37,Web,0.04892684554843391,0.09483680834320699,0.30680452483463055
38,Web,0.2406480077406971,0.6977273253332315,0.3584702528020718
39,Web,0.1909587734682708,0.5570281289209881,0.39600578376466977
40,Legal,0.1980862681228996,0.7977816178832188,0.40745539176587553
41,Legal,0.2005457951526847,0.6626544530537717,0.3830845301975053
42,Legal,0.2610253482887487,0.7709080699575989,0.435645269227767
43,Legal,0.25980147732439207,0.7931440086023273,0.4346276457449149
44,Legal,0.18697389851738913,0.8264237956860006,0.45473111148111967
45,Legal,0.2739295776158108,0.7852143227255611,0.4732635530939227
46,Legal,0.2922269251187981,0.820109186131534,0.4605010953634361
47,Legal,0.21704713888747115,0.7239618483594001,0.3480893660123742
48,Legal,0.3345786149822276,0.7211346294856813,0.38817394888184
49,Legal,0.2630170814968801,0.7923986016519919,0.42261106776789453
50,Legal,0.3196135533440535,0.7779369744412988,0.45477555764898014
51,Legal,0.2504014007803109,0.6895540081722782,0.3691898307106565
52,Legal,0.22845284630415025,0.7108422024566343,0.43239422162361435
53,Legal,0.23543971750380308,0.7145146053324302,0.39455490488951106
54,Legal,0.22459133366379777,0.7936269205353126,0.4624316990295565
55,Legal,0.323381942623753,0.7800571458759158,0.35894300591362494
56,Legal,0.22629311644088865,0.8024058407893377,0.3225461710739155
57,Legal,0.2122919071309553,0.8181555027263802,0.376415582339637
58,Legal,0.15526014291210377,0.703236507191171,0.37444881265964336
59,Legal,0.2190104201157362,0.7628070862796995,0.3597346378952143
60,Legal,0.306725765708189,0.7959630065646899,0.4502349182621126
61,Legal,0.2870242967907498,0.7924682391827689,0.4111651171955561
62,Legal,0.25044752328590064,0.8012275004692713,0.4110433185435028
63,Legal,0.1976539140076996,0.7756292985264734,0.40253656922551606
64,Legal,0.23675583351810814,0.8156261369289458,0.3373319794811349
65,Legal,0.2748939823885378,0.7259772211346026,0.2538967636239783
66,Legal,0.2896299771725184,0.7693812346484431,0.4161215742262064
67,Legal,0.2675867095676787,0.8097428091592549,0.5766695159021713
68,Legal,0.28800079639891973,0.7628885397906723,0.33334432016835736
69,Legal,0.17233456476377276,0.7233132095896597,0.3902003435234264
70,Legal,0.25063896477356173,0.7832173858439612,0.39049191375610803
71,Legal,0.28948671828518446,0.8040251384724042,0.43151110426252437
72,Legal,0.2692551466067295,0.7772969170658149,0.38654974442539297
73,Legal,0.3004892675051497,0.8141679710147469,0.4937578044288079
74,Legal,0.2774785476888667,0.6869621408052392,0.30191912792496617
75,Legal,0.1993941537550635,0.8076494290076408,0.3665969103881611
76,Legal,0.29358981040470417,0.7985775677613393,0.4761459384326123
77,Legal,0.22868462799485054,0.6880448697319046,0.37203700593363614
78,Legal,0.21092485794343374,0.7407893032789439,0.42669390846197724
79,Legal,0.24352926247241252,0.7954112927433201,0.3872061439061186
80,TV,0.3076233826261815,0.24698097208074352,0.17058205278545668
81,TV,0.18754827395156007,0.16127215511338222,0.13949437278936697
82,TV,0.3019455520474942,0.3505132214944829,0.2468760698958874
83,TV,0.28339577353457834,0.20354610602374018,0.14391899430384364
84,TV,0.35433085716318996,0.1790998163500916,0.07883043053940561
85,TV,0.3069943416614077,0.2181833962103478,0.17553263067285657
86,TV,0.29034173319777046,0.2844122298324202,0.16902267245908226
87,TV,0.30684491577755607,0.3125951181163512,0.1762884568126196
88,TV,0.17452966457023747,0.2160955088488144,0.1542198427866711
89,TV,0.20055673151838582,0.20934381652530476,0.14319836791047286
90,TV,0.305700808306973,0.18750661918136663,0.1498675541256085
91,TV,0.29826192887072367,0.18340190001584106,0.20367761082997107
92,TV,0.26851542574516507,0.26726401128276167,0.12921366778226584
93,TV,0.3007837956910317,0.17537128638108324,0.20877677489464053
94,TV,0.2650067546253224,0.24522301717511005,0.24330898449579577
95,TV,0.20704620709585236,0.33433689911845493,0.23804836621518075
96,TV,0.3357395581683495,0.45087854147565026,0.32022208658900764
97,TV,0.2985592820820036,0.3993667098596802,0.32323373946129186
98,TV,0.30747140417843044,0.2816635391145253,0.28520736134077207
99,TV,0.19307020136249914,0.1417361360682,0.11594310461864946
100,TV,0.20874360068009498,0.11311260830916732,0.0953954434280841
101,TV,0.2680030567997401,0.29529906932397443,0.24070262812467796
102,TV,0.29914522064743965,0.39506906377562084,0.29136002508794656
103,TV,0.28830989187621336,0.19213710181831511,0.13566904876874775
104,TV,0.25374415828462177,0.141391606362332,0.1238695011210336
105,TV,0.3050214403053191,0.47260057805311695,0.23163231250958982
106,TV,0.2817092444917476,0.42893810641624475,0.2871028510856897
107,TV,0.30060767583485143,0.28881832383370576,0.1752717746311414
108,TV,0.2937688538874486,0.13702429134143201,0.1747676453436535
109,TV,0.2717911925614345,0.1310475281964572,0.1225386504845802
110,TV,0.2664227771389963,0.2488349939515925,0.22326185918470376
111,TV,0.3150805363649035,0.23790527283378235,0.24753182230029097
112,TV,0.30302836716905135,0.1240627092749456,0.13485289848790674
113,TV,0.21505750154373254,0.09076281059505226,0.09931223830159125
114,TV,0.2625321860222136,0.23571821996293982,0.18675347573844123
115,TV,0.2460995019542306,0.10263165493190148,0.1687602896917596
116,TV,0.32502442733718195,0.27462024083998277,0.23224637834516462
117,TV,0.2456222823509812,0.12516758103347533,0.14009609281376223
118,TV,0.286860922942037,0.16249811687376664,0.16766883469290728
119,TV,0.2763972673811435,0.2754965517921858,0.2015104766657744
